words,PERSON,NORP,FACILITY,ORGANIZATION,GPE,LOCATION,PRODUCT,EVENT,WORK_OF_ART,LAW,LANGUAGE,DATE,TIME,PERCENT,MONEY,MEASUREMENT,ORDINAL,CARDINAL,MISC,PUNC,O
چاقوکش,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
مذاکره,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
نمی کنیم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
مگه,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
آمریکای,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
زمان,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
اوباما,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
الهه محبت,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
مظهر لطافت,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
دریای وفا,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
کوه صفا,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
عند معرفت,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
آخر رفاق,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
(,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
هراه,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
دستگیریِ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
جمعی,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
آخوندهای,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
منفور,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
نزد,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
مردم,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
زده,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
تلاش می‌کند,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
انداختنِ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
همه‌ی,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
تقصیرها,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
بر,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
گردن,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
روحانیت,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
خامنه_ای,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
کجاست,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
یک,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
هموطن,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
سيل زده,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
خوزستانی,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
می گوید,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
«,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
....,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
كجاست,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
كس,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
معارض,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
بودم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
بزرگوار,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
.....,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
اومدیم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
نمایشگاه کتاب,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
روحانی مچکریم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
از دهن مردم نمیفته,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
یعنی,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
شنیدن,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
هر,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
کتاب,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
یه,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
روحانی مچکرم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
میگن,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
خودِ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
خدا,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
دشمنشو,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
فریب میده,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
اونوقت,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
آمریکاییا,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
میگه,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
چرا,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
فریب میدین,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
آخه,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
اینکه,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
دین,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
هدایت میکنه,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
معنیش,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
چیه,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
در حالی,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
حقیقت,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
محسوب میشه,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
باید,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
تابع,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
باشه,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
روش های,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
روی احمدی نژاد را سفید کرده,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
شکی,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
نیست,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
موضوع,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
عکسیست,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
فتوشاپ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
است,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
آن,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
نواصب,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
إخوانیها,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
شیعه‌نما,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
شکم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
شمس‌آبادی,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
شیعهٔ سنتی,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
دریدند,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
یا,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
سید محمد روحانی,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
بخاطر,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
مخال,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
اما,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
گره,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
اصلی,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ماجرا,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
برای,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
من,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
این,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
نسل,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
جدید,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
روحانیون,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
بعدها,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
مراجع,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ارتقاء",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
یافتند,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
جنبش انقلابی,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
پی,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ر,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
کاملا,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
حق,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
داشتم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
رای بدم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
براش,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
تبلیغ کنم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
خشنودم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ینکار,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
اشتباه,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
تو,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
می‌کنی,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
تحمل,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
نظر,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ظریف,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
رو بازی میکنن,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
به التماس کردن از آمریکا برای مذاکره افتادن,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
سیدعلی آقا,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
زیر بازی میکنه,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
پیام مید,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
کمک های,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
مردمی,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
سیل زدگان,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
رؤسای,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
مؤخر,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
جمهور,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ایران,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
رفسنجانی,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
احمدی‌نژاد,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
آنکه,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
در,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
تمام,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
دوره,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
فعالیتش,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
دخالتی,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
امور شخصی,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
اونایی,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
هنوز,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
گندکاریای,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
افتخار,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ماله میکشن,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
احترام بذارین,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
واسه,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
حلال کردن پولشون,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
زحمت میکشن,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
شما,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
نگران,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
بچه ها,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
نباش,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
بدبختی های,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ملت,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
از گور شما ملاها بلند میشه,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ضمنا,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
نقش,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ن,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
اون,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
اگه,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
سلامت,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
عقل,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
داشت,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
وضع,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
مملکت,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
نبود,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ادم,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
فریب کار,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
حرفه ایی,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
لباس,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
مزاح میفرمایید,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
لابد,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
بی‌عقل,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
خواندن,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
بیست و چند میلیون,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ایرانی,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
رای دادن,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
مقایسه,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
داستان,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
یو,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
بابا,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
پس اندازم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
برام,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
دوربین,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
بخر,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
میگم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
گرون,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
شده,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
نمیتونم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
بخرم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
لعنت کنه,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ارزش,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
پول,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
همه سر و ته یک کرباسند,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
زمان رفسنجانی,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
شروع شد,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
مجمع روحانیون مبارز,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
جامعه روحانیت مبارز,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
علف به دهن بز,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
مسئولین چند پُسته,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
استعفا دهید,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
مسئولین,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
چ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"""""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
آدم,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
محترم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
مودب,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
لات,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
به‌,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
معنی,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
